Timestamp,Strategy,Ticker,Live_Price,Buy_Floor,Exit_Ceiling,Move_Pct,Zone_Start,Zone_End
2026-07-04 02:57:06,V20_Range_Breakout,GILLETTE.NS,7610.5,7265.28,8796.35,21.07%,2025-02-18,2025-02-20
2026-07-04 02:57:06,V20_Range_Breakout,BAJAJ-AUTO.NS,9785.5,9394.08,11546.89,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,HDFCLIFE.NS,567.7,544.99,669.89,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ULTRACEMCO.NS,11723.0,11254.08,13833.14,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,LT.NS,4026.6,3865.54,4751.39,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,QUESS.NS,290.85,240.59,294.0,22.20%,2026-06-30,2026-07-03
2026-07-04 02:57:06,V20_Range_Breakout,TEAMLEASE.NS,1421.3,2854.65,3478.0,21.84%,2024-07-23,2024-07-29
2026-07-04 02:57:06,V20_Range_Breakout,BOSCHLTD.NS,41895.0,29120.0,37670.0,29.36%,2026-04-01,2026-04-10
2026-07-04 02:57:06,V20_Range_Breakout,JIOFIN.NS,239.35,271.48,346.46,27.62%,2024-02-19,2024-02-23
2026-07-04 02:57:06,V20_Range_Breakout,HINDUNILVR.NS,2201.2,2113.15,2597.42,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,UBL.NS,1345.0,1291.2,1587.1,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,KOTAKBANK.NS,396.75,380.88,468.16,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,ABBOTINDIA.NS,25895.0,24859.2,30556.1,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,COLPAL.NS,2047.0,1965.12,2415.46,22.50%,2026-01-01,2026-01-15
2026-07-04 02:57:06,V20_Range_Breakout,MRF.NS,134655.0,129268.8,158892.9,22.50%,2026-01-01,2026-01-15
